questionText,answerText
"Our relationship ended about 7 years ago, but don't know how to let go. How can I get over that person and move on?","What you're most likely trying to get over is to be attracted to the qualities which you felt attracted to in the person.The problem isn't releasing yourself from the person, per se.   Letting go of a person means separating yourself from the qualities in a partner which you value.Two possibilities exist.Either you continue to feel strongly that the qualities in the past relationship are still meaningful and you'd like to base your next relationship on these qualities.Or, the person had qualities which are no longer relevant or necessary in your life and this is the reason the relationship ended.It is possible that even if you had an adequate exposure to certain qualities in someone that you simply miss the companionship of a relationship.See if you can figure out whether you need the qualities this person gave you or whether you simply like being part of a couple.If you like the particular qualities of your previous parter and these are still relevant to your life, you'll attract a partner who has similar qualities.Basically people attract what they need.The more open you are to attracting what you need in a partner, the more likely your next partner will have these qualities.In this way, you'll get over the particular person and still have the satisfaction to be in a relationship."
"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.    I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
   How can I get myself to just move on?","Well, there is some good news and not-so-good news. The good news is that people are capable of moving on from relationships, even if the person showed them a sort of love that they've never felt they've had, or deserved, before. Sometimes, even just the fact that this has happened for them can, eventually (see below) lead them to seek out love again, because they now believe they will be able to have that again.So, the not-so-good news though is that one can not ""just move on."" I'd even venture to say that the pressure you may be putting on yourself to just move on and out of this yucky hole of feelings that you are in is actually too much pressure and adding to the yucky feelings as they are. Instead, try thinking of getting past these feelings as grieving over the loss of someone (even though someone didn't die, there is still a significant loss you are experiencing) and therefore how essential it is to allow yourself to grieve, to feel whatever feelings (of anger, or sadness, or something else) that you are feeling. Often, it is really helpful to speak those feelings (I recommend professionals in this case) who can help you feel like you are not pathological for this struggle, and instead that it is completely normal. Love is a crazy thing, and the feelings can get very confusing. But, the last stage of grieving is ""acceptance,"" and it is very challenging to get there if you skip over denial, anger, bargaining, and depression."
"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.    I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
   How can I get myself to just move on?","What if we think about this in metaphor: imagine a dirt road suddenly paved over - where before it was small, once paved, it was faster, smoother and suddenly you, the driver, knew what real driving could feel like. Then your road got a pothole: now, every time you drive, you hit that hole, and it only seems to get worse, the more you drive over it.  Until that hole is patched - until you choose to fill your heart with either love for another or love for yourself - you might find it challenging to 'keep driving on your road'. Instead of letting go of how you felt, try to hang on to that feeling, just direct it inwards: you've shared you're capable of feeling strongly for another, surely, you're worthy of that same regard? All the best~"
"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.    I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
   How can I get myself to just move on?","There is no wrong or right way to define a relationship. I believe each relationship we are in is an opportunity to expand and to know self on a deeper level. We are conditioned to believe that we are not valued, or worth much without the confirmation of others and the world around us. Give yourself time and try to not go to those who are toxic and enjoy the drama of others lives as s way to avoid looking at themselves."
"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.    I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
   How can I get myself to just move on?","Love is a deep and nuanced feeling so start to accept that a simple cutting of emotional connection isn't possible.Honor the love you felt for this person.  Acknowledgement of your love feelings will most likely help you find a dignified way to accept them while at the same time slowly developing new ways to live your life in a way which does not include the actual person.Your feelings will always belong to you.  The newly discovered sense of how love feels will be with you and positively influence all your relationships.  There is a benefit to feeling loved even if it is not forever in this lifetime.Also, your partner opened your feelings, the feelings which showed in fact already were within you.  He opened the door and this door belongs to you.I hope you will find ways to appreciate having been loved and to be open that your feelings of being loved are a positive influence in all your relationships."
"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.    I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
   How can I get myself to just move on?","One of the most challenging areas for people to deal with is getting over the the person you have loved so much. It's a catch 22. You know mentally that it's not healthy to think about them. However, your feelings are still there. Moving on is tough. It takes time for feeling to go away. That's the thing, it's not the person you're trying to get over, it's the feeling and the idea of them that is that makes it difficult. You've learned a lot from the relationship and time will help. Activity will also help. Are you actively living your life? If not, go out and maybe it's time to date and find new love. Grow with new relationships and it will help create focus on someone who may even be better than the love you previously experienced. You can do it!Earl Lewiswww.RelationshipsGoneRight.Com"
"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.    I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
   How can I get myself to just move on?","It's difficult to move on and let go, especially when you've experienced things for the first time with someone, or feelings you've never felt before, as you said.I like the fact that you are looking at your situation ""logically"".  Feelings can take time to fade, but you seem to understand, even if it is subconsciously, that it's the feelings he stirred up in you that are keeping you tied to him, not necessarily the person himself. Realize that you can and will experience those feelings again with another person - the RIGHT person. Don't hold onto someone who is wrong for you just because of something like this. You're wanting those feelings and wanting a relationship - but with him necessarily? Or with anybody? You said you don't want to be without your love for him - not you don't want to be without him. In fact, you said you know you need to be without him. It seems like it's the LOVE that you can't let go of, and the feelings. Not the person. Trust me, you will find that again. Take some time to let this fade. Don't try to force him or anyone else into a role that is meant for someone else. Cherish the memories and the experiences you had. Sounds like it's been a valuable learning and growth experience for you, but you have your own reasons, and I don't know what they are, for thinking this person isn't good for you. Trust your gut instinct and be glad you've had this relationship. Not all are meant to last. But all shape you into the person you are and will become, and all teach us important lessons."
"I got engaged, and everything was going well. Things went downhill at some point, and I broke off the engagement due to an opportunity to go to college. After that, I found out she had been cheating on me. I think about her all the time now, and we have been communicating on and off, but my friends/family don't know.","Somehow you knew the marriage wouldn't have a good start if your fiancé was cheating on you.Congrats on your intuition and following your intuition.An engagement breakup is full of disappointment and sometimes talking about the particular points help the couple to clarify and possibly set the relationship on new terms or feel more confident in the breakup.I suggest you identify what topics re the relationship you'd like to clear up with your ex.If both of you are having touch and go conversation which doesn't address the deeper and more troubled areas which led to the cheating and breakup, there is a chance you both will go down a similar road of casual and light conversation which hits the wall of the deeper obstacles between both of you.Your friends and family don't need to know anything until you feel ready to tell them what you decide to tell them."
"He was in love with someone years ago, and he still thinks about her time to time. He said, and I quote, ""That relationship is definitely over. I love you, but that girl will always be in my mind."" It just didn't feel like he appreciated all the things I've done to make him happy.","Trust your intuition on your conclusion about this guy.He may very well love you, only with the ex so prominent in his mind, it is possible your feeling of not being appreciated now, would multiply if ever the two of you needed to address a delicate topic.Since he is emotionally attached to the former gf, it is very likely he wouldn't be able to fully love you as much as you'd like and are already sensing."
"He was in love with someone years ago, and he still thinks about her time to time. He said, and I quote, ""That relationship is definitely over. I love you, but that girl will always be in my mind."" It just didn't feel like he appreciated all the things I've done to make him happy.","It sounds like you were in a tough spot here.I'm not able to tell you whether or not you made a mistake because the decision is yours. I am wondering what led you to ask whether you made a mistake and whether you wish you were still in the relationship with this guy. If so, is it an option to talk about this with him?If you decide to get back together, consider having some conversations about what your concerns are and taking about five minutes or so to listen to this guy's thoughts, feelings, etc. Then see if you can repeat the essence of what he said to make sure you have it right. Then maybe you can ask some questions that you have and see if he is willing to listen. When each of you is in the role of asking questions, try to ask them as if you are an investigative reporter trying to learn more about each other's experience.If you are looking for information on coping with breaking up and you don't want to get back together or that's not an option, consider looking at how you define yourself and what is most important to you at this moment. I hear you saying you've done a lot of things to make him happy. I'm wondering what is making you happy. Hopefully you have friends or family that you can trust and talk to. Even if you don't talk about your relationship with all of them, I hope you have some people around whom you can be emotionally safe and comfortable."
"My spouse decided he no longer wanted me six years ago. Things have deteriorated so badly that we have separated but still live in the same house. He says he despises the sight of me, wants to be with other women, and divorce. What I don't understand is that he says constantly that I have no feelings for him and gets absurdly jealous if I speak to another male. Why does he constantly do these behaviors? I might add he has been diagnosed with borderline personality disorder and as a narcissist.","What a burden for you!Your husband cannot seem to make up his mind on his viewpoint and doesn't seem to care whether or not you're affected by speaking out of two sides of his mouth.Keep yourself protected emotionally from him.   There's no good which can come by arguing with a person who  flips their position.Live as separately as possible from him and stick to roommate type matters such as groceries, bill paying and housecleaning as discussion topics.If he cannot make sense of what he thinks and feels, then certainly you will face similar difficulty trying to do so!"
"My spouse decided he no longer wanted me six years ago. Things have deteriorated so badly that we have separated but still live in the same house. He says he despises the sight of me, wants to be with other women, and divorce. What I don't understand is that he says constantly that I have no feelings for him and gets absurdly jealous if I speak to another male. Why does he constantly do these behaviors? I might add he has been diagnosed with borderline personality disorder and as a narcissist.","It sounds like this is quite difficult.It sounds as if sometimes your spouse want you to be a part of his life (which could be a part of where the jealousy comes from) and sometimes he doesn't. Talking about this would likely be a delicate conversation and from what you mention he has been diagnosed with, I'm wondering if he has a therapist. If so, do you know whether he would allow you to come to one session so you can learn more about how he feels? Maybe he would be to use more of it because in the contained environment of an therapy office. This way at least you would know where he's coming from. You could also ask whether he is able to hear what you want, wish for, or desire between the two of you.Remember, just because you hear or follow what he is saying does not imply that you agree with him, although that concept in itself could be a subject of discussion because not everyone is aware of it.I hope that you are able to hold onto who you are and what you want throughout this."
My husband and I are separated. He says he needs some time apart. He says he needs to get back the “in love” part of a relationship but doesn’t want to lose me. Should I wait or start over new?,"It's not uncommon for relationships to go cold over time. It is a matter of one or the other becoming complacent. If you and your husband have been together for quite some time it's likely that you are very comfortable and familiar with each other. While this is a good thing in some ways, it can also become boring and you run the risk of losing that ""in love"" feeling he is referring to. Couples simply become ambivalent. For some of the couples I work with in my practice, I find that helping to organize a time apart, which I call a ""Therapeutic Separation"" can do wonders for the relationship. I offer homework to be done during this time. Reading, worksheets and individual counseling helps people learn more about themselves and what they desire out of their relationship. It often times brings more appreciation for their partners. When the pair comes back together, we are able to push the reset button and begin a new chapter that is more fulfilling and exciting than before."
My husband and I are separated. He says he needs some time apart. He says he needs to get back the “in love” part of a relationship but doesn’t want to lose me. Should I wait or start over new?,"That's a tough one.  Would you and your husband be willing to attend couples counseling during the separation?  That would benefit you both.  If you separate and reconcile, what will have changed other than you having time apart?  You will need to gain new skills to enhance and maintain your connection - otherwise you will risk repeating the cycle of disconnect, discontentment and separation.  Please seek help from a therapist trained in couples work to help the two of you find a way either back to each other or gracefully out of the marriage.  Time away will not, by itself, change your relationship into one that can be sustained."
"I want a secure relationship with someone that wants to be with me and who will actually put effort into it.
 I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse me of being controlling. I let men emotionally abuse me and I am at their beck and call.
 I am not comfortable being alone or doing anything by myself. I feel I need the security of someone being around just to survive. I know what I'm doing wrong and I do it anyway just hoping things will change. How do I stop this behavior and thought process?","You may be interested in reading my most recent post, Intimacy Begins With You. In it I offer 7 expert tips to help you get started on a path of self connection and discovery. This is important stuff to do in order to work through that stuff that's holding you back from the relationships you desire. You may find that it's especially helpful to do this work with the alliance of a skilled individual therapist."
