questionText,answerText
"I interrupted my boss in a meeting.","Impulsivity happens. Acknowledge it briefly and try to write down your thoughts next time."
"My house is a mess.","Don't look at the whole house. Just clean one surface, like the coffee table."
"I feel stupid for forgetting things.","You aren't stupid; you have a memory retrieval issue. Be kind to yourself."
"I can't stop scrolling on my phone.","Dopamine loop. Try setting a timer for 5 minutes, then physically put the phone in another room."
"I feel like I need to run around.","That edginess suggests you need stimulation. A quick walk or some jumping jacks might reset your system."
"I missed my appointment.","That stings. Be honest about the mistake, and let's set up a calendar alert for the next one immediately."
"I feel overwhelmed by life.","Everything feels urgent. Try just picking the one thing that will relieve the most stress right now."
"I started 5 projects and finished none.","Starting is fun, finishing is hard. Let's try to finish just one small part of one project today."
"I feel like everyone hates me.","RSD lies to you. You are loved and safe, even if it feels like criticism."
"I can't listen to long stories.","It's hard to filter out distractions. Using a fidget toy while listening might actually help you focus."
"I forget to brush my teeth.","Routine is hard. Can you pair it with something else, like showering or washing your face?"
"I feel like I'm lazy.","You are not lazy; you have executive dysfunction. There is a difference."
"I can't sleep because my brain won't shut off.","Racing thoughts can be exhausting. 'Brain dumping' them all onto paper might quiet the noise."
"I spend money impulsively.","The 'now' feels more important than the 'later'. Try a 24-hour waiting period rule for purchases."
"I feel like a failure.","Don't compare your inside struggles to everyone else's highlight reel. You are playing life on 'Hard Mode'."
"I have too much energy.","You need to release that energy. Is there a way to fidget that is less visible, like wiggling your toes?"
"I can't start my essay.","The 'wall of awful' has built up. Just write one sentence. Any sentence."
"I feel like crying for no reason.","Emotional regulation is harder with ADHD. Step away from the situation for 5 minutes."
"I lost track of time completely.","Time blindness is real. Using visual timers (like an analog clock) can help you 'see' time passing."
"I'm bored out of my mind.","Boredom is painful for ADHD. Can you add a challenge to the task to make it interesting?"
"I keep making simple mistakes.","Detail work is draining. Can you use a checklist to review your work?"
"I feel like I'm vibrating with energy.","That internal motor is intense. Have you had a chance to do some heavy physical exercise today?"
"I can't decide what to eat.","Decision fatigue is real. Have a 'go-to' safe meal that you don't have to think about."
"I feel guilty for being late.","You care about people's time. Apologize, but don't dwell on the shame."
"I can't find my phone.","Losing things is frustrating. Can you use a 'find my device' feature or ask someone to call it?"
"I feel like I'm floating away.","Ground yourself. Name 5 things you can see, 4 you can touch, 3 you can hear."
"I interrupt people constantly.","Try pressing your tongue to the roof of your mouth when you want to interrupt."
"I can't do the laundry.","Just wash. Don't worry about folding yet. One step at a time."
"I feel like a fraud.","You are capable. You just have a different operating system."
"I forget people's names immediately.","It happens. Try repeating their name back to them as soon as you hear it."
"I can't sit through a meeting.","Bring a notebook and doodle. It helps keep the brain engaged without disrupting others."
"I feel like I'm going to explode.","Go find a safe place to let it out—scream into a pillow or run up some stairs."
"I procrastinate until the last minute.","Adrenaline is a great motivator, but it's exhausting. Let's try to create artificial deadlines."
"I feel overwhelmed by choices.","Reduce the options. Flip a coin if you have to."
"I can't keep a routine.","Routine is boring. Try a 'rhythm' instead—an order of events rather than strict times."
"I feel like I'm broken.","You are not broken. You are unique and you have strengths that come with this."
"I can't focus on reading.","Try an audiobook. Your ears might be better at absorbing info than your eyes right now."
"I talk too fast.","Take a breath. It gives your brain a second to catch up with your mouth."
"I feel like I'm in a daze.","Get some fresh air. Oxygen can help wake up the brain."
"I can't finish my chores.","Gamify it. See how many dishes you can wash in 3 minutes."
"I feel super sensitive today.","Be gentle with yourself. It's a high-gravity day."
"I forgot my medication.","Set an alarm on your phone, and keep the pills in a visible place."
"I can't stop fidgeting.","Fidgeting is fine. It's your body's way of keeping your brain awake."
"I feel like I'm drowning in tasks.","Just pick one task. The rest can wait."
"I impulsively bought something expensive.","It happens. Can you return it? If not, forgive yourself and move on."
"I feel like I'm always behind.","You are running your own race. Don't worry about where others are."
"I can't pay attention in class.","Sit at the front. It reduces the distractions between you and the speaker."
"I feel like screaming.","Go for it (in a safe place). Releasing that pressure is important."
"I forgot a birthday.","Send a belated message. Better late than never."
"I can't organize my thoughts.","Mind mapping or drawing your thoughts might work better than a list."
"I feel like I'm a burden.","You are not a burden. You are a human being with needs."
"I can't stop eating.","Dopamine seeking often looks like hunger. Are you actually hungry or just bored?"
"I feel hyper.","Put on some music and dance. Burn it off."
"I can't get off the internet.","Turn off the wifi router for 1 hour. Force the break."
"I feel like I'm invisible.","You are seen. Your struggles are valid."
"I can't remember simple words.","Brain fog hinders recall. Describe the word, people will understand."
"I feel panicked about time.","Hide the clock. Focus on the task, not the minutes."
"I can't stick to a diet.","Impulsivity makes restriction hard. Focus on adding healthy foods rather than subtracting."
"I feel like I'm running on empty.","Rest. Real rest, not scrolling-on-phone rest."
"I can't handle criticism.","Take a deep breath. Is there truth in it, or is it just your RSD?"
"I feel like I'm crazy.","You aren't crazy. You have a neurodevelopmental condition."
"I can't find my glasses.","Retrace your steps. Where was the last place you remember seeing them?"
"I feel like giving up.","Take a break, not a quit. You can try again tomorrow."
"I can't write this report.","Dictate it. Talk to your phone and let it type for you."
"I feel like I'm spinning.","Sit down. Feet on the floor. Breathe."
"I can't make a phone call.","Phone anxiety is common. Write a script of what you want to say first."
"I feel like I'm a mess.","You are a work in progress. Everyone is."
"I can't stop thinking about mistakes.","Rumination doesn't fix the past. Distract yourself with a cognitive task."
"I feel like I have no control.","Focus on what you can control. Your breath, your next action."
"I can't sleep.","Try a 'sleep story' or white noise to give your brain something boring to focus on."
"I feel like I'm wasting my life.","You are surviving. That is an achievement."
"I can't do math in my head.","Working memory is often weak in ADHD. Use a calculator/paper, no shame."
"I feel like I'm exploding with ideas.","Write them all down. Don't try to do them all at once."
"I can't find the motivation.","Motivation follows action. Do something small to jumpstart the engine."
"I feel like I'm failing school.","Talk to your teachers. Accommodations might be available."
"I can't stop biting my nails.","It's a stim. Try a chew necklace or gum instead."
"I feel like I'm always late.","Set your clocks 10 minutes fast."
"I can't clean my room.","Invite a friend over. The 'body double' effect helps."
"I feel like I'm too much.","You are just right for the people who love you."
"I can't remember appointments.","Put them in your phone immediately. Don't trust your memory."
"I feel like I'm dumb.","You are not dumb. You just learn differently."
"I can't stand the texture of this food.","Sensory issues are valid. Eat something else."
"I feel like I'm falling apart.","Hold on. This feeling will pass."
"I can't listen to this lecture.","Record it and listen later in chunks."
"I feel like I'm annoying.","Ask your friends. They probably don't think so."
"I can't finish a book.","Read short stories or articles instead."
"I feel like I'm trapped.","Go outside. Change your environment."
"I can't stop talking.","Drink some water. It forces a pause."
"I feel like I'm useless.","You have a purpose. You just need to find your niche."
"I can't handle the noise.","Wear earplugs. Protect your peace."
"I feel like I'm always losing.","Redefine winning. Did you get out of bed? That's a win."
"I can't focus on homework.","Do it in 15-minute bursts."
"I feel like I'm a bad friend.","Reach out. A simple 'thinking of you' text goes a long way."
"I can't stop shaking my leg.","It's okay. It helps you focus."
"I feel like I'm a disappointment.","You are disappointed, but you are not a disappointment."
"I can't get started.","Count down: 5, 4, 3, 2, 1, GO."
"I feel like I'm alone.","There is a whole community of people just like you."
"I can't remember what I studied.","Review it right before sleep. It helps memory consolidation."
"I feel like I'm weird.","Normal is boring. Embrace your unique brain."
"I can't stop interrupting.","Carry a stress ball. Squeeze it when you want to speak."
"I feel like I'm suffocating.","Take deep breaths. Open a window."
"I can't do this anymore.","Rest. You don't have to do it all today."
"I feel like I'm a fraud.","Imposter syndrome is common. You earned your place."
"I can't find my keys.","Check the door lock. Did you leave them there?"
"I feel like I'm lazy.","It's executive dysfunction. Be kind to yourself."
"I can't focus.","Try binaural beats or focus music."
"I feel like I'm a failure.","Failure is just data. Learn and try again."
"I can't sit still.","Stand up. work at a standing desk if you can."
"I feel like I'm drowning.","Float. You don't have to swim right now."
"I can't stop crying.","Let it out. Tears release stress hormones."
"I feel like I'm stupid.","You are smart in ways that standard tests don't measure."
"I can't remember dates.","Use a calendar app. outsource your memory."
"I feel like I'm overwhelmed.","Simplify. Cut the to-do list in half."
"I can't sleep.","Get out of bed. Do something boring until you are tired."
"I feel like I'm bad at everything.","Focus on your strengths. What are you good at?"
"I can't stop eating sugar.","Dopamine craving. Try fruit instead."
"I feel like I'm chaotic.","Chaos can be creative. Channel it."
"I can't finish tasks.","Done is better than perfect."
"I feel like I'm lonely.","Join an ADHD support group."
"I can't focus on the road.","Listen to upbeat music to keep your brain engaged while driving."
"I feel like I'm tired.","ADHD is exhausting. Rest is essential."
"I can't handle the pressure.","Step back. relieve the pressure valve."
"I feel like I'm lost.","You are here. Start from where you are."
"I can't understand this.","Ask for it to be explained differently."
"I feel like I'm sad.","It's okay not to be okay."
"I can't remember my password.","Use a password manager."
"I feel like I'm anxious.","Breathe. 4 counts in, 4 counts hold, 4 counts out."
"I can't stop playing games.","Set a timer. When it rings, game over."
"I feel like I'm weak.","You are fighting a battle others can't see. You are strong."
"I can't find my shoes.","Put them in the same place every day."
"I feel like I'm angry.","Run. Burn off the adrenaline."
"I can't focus on the conversation.","Repeat back what you hear to stay engaged."
"I feel like I'm confused.","Ask questions. It's okay not to know."
"I can't stop spending money.","Delete shopping apps from your phone."
"I feel like I'm helpless.","You have agency. Take one small action."
"I can't do the dishes.","Use paper plates for a while. It's okay."
"I feel like I'm worthless.","Your worth is inherent. It doesn't depend on what you do."
"I can't remember to drink water.","Get a cool water bottle. Keep it on your desk."
"I feel like I'm stressing everyone out.","You are responsible for you, not their feelings."
"I can't stop picking my skin.","Keep your hands busy with a fidget toy."
"I feel like I'm falling behind.","Forward is forward, no matter the speed."
"I can't organize my papers.","Throw away what you don't need. Scan the rest."
"I feel like I'm a disaster.","You are a masterpiece in progress."
"I can't remember to take my meds.","Pair it with your morning coffee."
"I feel like I'm annoying my partner.","Talk to them. Communication is key."
"I can't stop daydreaming.","Set a timer to chime every 10 minutes to bring you back."
"I feel like I'm insignificant.","You matter."
"I can't focus on the movie.","Knitting or doodling while watching can help."
"I feel like I'm terrified.","Fear is a reaction. Courage is a decision."
"I can't keep my desk clean.","Clear it off at the end of every day."
"I feel like I'm incapable.","You can do hard things."
"I can't stop checking my phone.","Put it on silent and face down."
"I feel like I'm misunderstood.","Explain your brain. Help them understand."
"I can't remember to call my mom.","Set a recurring reminder."
"I feel like I'm a procrastinator.","Forgive yourself. Start now."
"I can't handle the tags on my clothes.","Cut them off. Comfort is priority."
"I feel like I'm ugly.","You are judging yourself harshly. Be kind."
"I can't stop worrying.","Write down your worries. Then close the book."
"I feel like I'm always correcting myself.","It shows you are self-aware. That's a strength."
"I can't focus on long texts.","Skim for keywords."
"I feel like I'm a mess.","Embrace the mess. It's part of the process."
"I can't remember instructions.","Ask for them in writing."
"I feel like I'm wasting potential.","You are growing at your own pace."
"I can't stop looking at the clock.","Cover it up."
"I feel like I'm barely hanging on.","Reach out for support."
"I can't focus on the speaker.","Look at their mouth. It helps focus attention."
"I feel like I'm a fake.","You are real."
"I can't stop tapping my pen.","Switch to a silent fidget."
"I feel like I'm hopeless.","There is always hope."
"I can't remember my schedule.","Check it every morning."
"I feel like I'm exhausted.","Sleep."
"I can't handle crowds.","Leave early if you need to."
"I feel like I'm invisible.","Speak up."
"I can't stop thinking.","Distract your brain."
"I feel like I'm broken.","You are whole."
