user,bot
Small conflicts make me panic.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I suddenly felt like I was back in the traumatic moment.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I get emotional flashbacks without warning.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I get overwhelmed by simple tasks.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I feel like I don't deserve kindness.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I feel like something bad is always about to happen.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I avoid people because I don’t feel safe.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel like I’m constantly walking on eggshells.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I feel like something bad is always about to happen.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
My inner critic keeps telling me I'm worthless.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I can’t stop blaming myself for the past.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I feel disconnected from my body.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I get emotional flashbacks without warning.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I get overwhelmed by simple tasks.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I feel empty and scared at the same time.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I feel like something bad is always about to happen.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I freeze when someone raises their voice.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I get overwhelmed by simple tasks.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I can’t stop reliving painful memories.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I feel empty and scared at the same time.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
Small conflicts make me panic.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel like I’m constantly walking on eggshells.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
Small conflicts make me panic.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel abandoned even when people are around.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I feel abandoned even when people are around.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I feel like I’m constantly walking on eggshells.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
My inner critic keeps telling me I'm worthless.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I freeze when someone raises their voice.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
Loud noises make my whole body tense up.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I get overwhelmed by simple tasks.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel disconnected from my body.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I don't know how to comfort myself.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
My inner critic keeps telling me I'm worthless.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel like something bad is always about to happen.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel like I’m constantly walking on eggshells.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
Loud noises make my whole body tense up.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
Small conflicts make me panic.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
My inner critic keeps telling me I'm worthless.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I feel like something bad is always about to happen.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I freeze when someone raises their voice.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I get overwhelmed by simple tasks.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel like I don't deserve kindness.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I get emotional flashbacks without warning.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I don't know how to comfort myself.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
Small conflicts make me panic.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel like I’m constantly walking on eggshells.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I avoid people because I don’t feel safe.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I get triggered by things that seem harmless.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
Loud noises make my whole body tense up.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I get overwhelmed by simple tasks.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I can’t relax; I’m always on edge.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
Loud noises make my whole body tense up.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I can’t relax; I’m always on edge.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I can’t stop reliving painful memories.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I feel like I’m constantly walking on eggshells.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel ashamed for things that weren’t my fault.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I freeze when someone raises their voice.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I get overwhelmed by simple tasks.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
Loud noises make my whole body tense up.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel ashamed for things that weren’t my fault.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel abandoned even when people are around.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I get emotional flashbacks without warning.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I freeze when someone raises their voice.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel empty and scared at the same time.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel empty and scared at the same time.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I get triggered by things that seem harmless.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel disconnected from my body.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I don't know how to comfort myself.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
Small conflicts make me panic.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I get overwhelmed by simple tasks.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
My inner critic keeps telling me I'm worthless.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I can’t stop blaming myself for the past.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I can’t stop blaming myself for the past.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I can’t stop blaming myself for the past.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
Loud noises make my whole body tense up.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I don't know how to comfort myself.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I suddenly felt like I was back in the traumatic moment.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel disconnected from my body.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I feel like something bad is always about to happen.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I don't know how to comfort myself.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I can’t relax; I’m always on edge.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I freeze when someone raises their voice.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I can’t stop blaming myself for the past.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel disconnected from my body.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I can’t relax; I’m always on edge.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel disconnected from my body.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I can’t stop blaming myself for the past.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I get overwhelmed by simple tasks.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I get emotional flashbacks without warning.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I feel ashamed for things that weren’t my fault.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I freeze when someone raises their voice.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
My inner critic keeps telling me I'm worthless.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I get overwhelmed by simple tasks.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel disconnected from my body.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
Loud noises make my whole body tense up.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I can’t stop blaming myself for the past.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like I don't deserve kindness.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel disconnected from my body.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
My inner critic keeps telling me I'm worthless.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I get emotional flashbacks without warning.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
Loud noises make my whole body tense up.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel like something bad is always about to happen.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
Small conflicts make me panic.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I get emotional flashbacks without warning.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel empty and scared at the same time.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel like something bad is always about to happen.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I feel disconnected from my body.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I feel like something bad is always about to happen.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel like something bad is always about to happen.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I freeze when someone raises their voice.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel empty and scared at the same time.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel like something bad is always about to happen.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I freeze when someone raises their voice.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I can’t stop blaming myself for the past.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I get triggered by things that seem harmless.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I can’t stop blaming myself for the past.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I suddenly felt like I was back in the traumatic moment.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I can’t stop blaming myself for the past.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I don't know how to comfort myself.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I freeze when someone raises their voice.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I get emotional flashbacks without warning.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel ashamed for things that weren’t my fault.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel disconnected from my body.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I get emotional flashbacks without warning.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I feel like something bad is always about to happen.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I avoid people because I don’t feel safe.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I get triggered by things that seem harmless.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I freeze when someone raises their voice.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel empty and scared at the same time.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel like I don't deserve kindness.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I get overwhelmed by simple tasks.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I feel like I don't deserve kindness.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I feel abandoned even when people are around.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
My inner critic keeps telling me I'm worthless.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I feel ashamed for things that weren’t my fault.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I feel abandoned even when people are around.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like something bad is always about to happen.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel like I don't deserve kindness.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I suddenly felt like I was back in the traumatic moment.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
My inner critic keeps telling me I'm worthless.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
Loud noises make my whole body tense up.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I can’t relax; I’m always on edge.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel ashamed for things that weren’t my fault.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I get overwhelmed by simple tasks.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
Small conflicts make me panic.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I can’t stop reliving painful memories.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I get emotional flashbacks without warning.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
Small conflicts make me panic.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I can’t stop blaming myself for the past.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I get triggered by things that seem harmless.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I don't know how to comfort myself.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like something bad is always about to happen.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like something bad is always about to happen.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I feel like I don't deserve kindness.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I get overwhelmed by simple tasks.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I can’t stop reliving painful memories.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I avoid people because I don’t feel safe.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel abandoned even when people are around.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I avoid people because I don’t feel safe.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I get triggered by things that seem harmless.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
Small conflicts make me panic.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
My inner critic keeps telling me I'm worthless.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I feel like I don't deserve kindness.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
My inner critic keeps telling me I'm worthless.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel empty and scared at the same time.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I can’t relax; I’m always on edge.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel like I’m constantly walking on eggshells.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I get emotional flashbacks without warning.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel abandoned even when people are around.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
Small conflicts make me panic.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
My inner critic keeps telling me I'm worthless.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I freeze when someone raises their voice.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I don't know how to comfort myself.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
I feel ashamed for things that weren’t my fault.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
Loud noises make my whole body tense up.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
Small conflicts make me panic.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I can’t relax; I’m always on edge.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I avoid people because I don’t feel safe.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I don't know how to comfort myself.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I can’t stop reliving painful memories.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I can’t relax; I’m always on edge.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I freeze when someone raises their voice.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I feel like I don't deserve kindness.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
I feel empty and scared at the same time.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I don't know how to comfort myself.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I get triggered by things that seem harmless.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel abandoned even when people are around.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel disconnected from my body.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I freeze when someone raises their voice.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I get triggered by things that seem harmless.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
My inner critic keeps telling me I'm worthless.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I don't know how to comfort myself.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I can’t stop blaming myself for the past.,"You deserve compassion, not blame. Healing often starts with speaking kindly to the younger part of you that had no support."
I feel like I’m constantly walking on eggshells.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I can’t relax; I’m always on edge.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I can’t stop reliving painful memories.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
My inner critic keeps telling me I'm worthless.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I can’t relax; I’m always on edge.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
Small conflicts make me panic.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel disconnected from my body.,Conflicts can activate old wounds. You’re not wrong for feeling this way. Let’s focus on helping your nervous system feel steadier.
I feel ashamed for things that weren’t my fault.,It makes sense that you feel unsafe. Trauma teaches the body to stay alert. Let’s explore one small thing that helps you feel grounded.
I feel like I don't deserve kindness.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I can’t stop reliving painful memories.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
Loud noises make my whole body tense up.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I get overwhelmed by simple tasks.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
Small conflicts make me panic.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I feel disconnected from my body.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
Loud noises make my whole body tense up.,You deserve to feel safe. Let’s find one supportive phrase you can tell yourself when the fear rises.
Small conflicts make me panic.,You're doing your best with what you've been through. Let’s focus on helping your inner child feel supported.
I can’t relax; I’m always on edge.,"The shame you're feeling is a learned survival response. You didn’t deserve what happened to you, and none of it was your fault."
I can’t stop blaming myself for the past.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel abandoned even when people are around.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I can’t relax; I’m always on edge.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I can’t stop blaming myself for the past.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel empty and scared at the same time.,"Feeling disconnected is a common trauma response. Try noticing one thing you can see, one thing you can touch, and one thing you can hear."
I can’t relax; I’m always on edge.,"You survived incredibly difficult experiences. That resilience is still inside you, even if it doesn't always feel that way."
I don't know how to comfort myself.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
I feel disconnected from my body.,"That sounds very painful. Emotional flashbacks can feel overwhelming, but you're safe right now. Let’s slow down and take a grounding breath together."
I feel disconnected from my body.,"Your inner critic developed to keep you safe in the past, but it doesn’t reflect your worth today. We can gently challenge its messages."
I feel like I’m constantly walking on eggshells.,"Your body is reacting to earlier trauma, not present danger. Noticing this is a powerful first step toward healing."
I feel ashamed for things that weren’t my fault.,It’s understandable that harmless things trigger you. Your body learned to associate danger with small cues. We can work on separating the past from now.
I feel like something bad is always about to happen.,Freezing is a common trauma response. It’s your nervous system trying to protect you. You're not doing anything wrong.
My inner critic keeps telling me I'm worthless.,The overwhelming feelings are signals from old wounds. You’re allowed to slow down and take care of yourself.
I feel like I don't deserve kindness.,"You’re carrying pain from the past, but you're not alone right now. Healing happens in small, gentle steps."
