questionText,answerText
"I've lost interest.","It's just the chemistry in your brain. The spark will come back."
"It feels like falling into a well.","Hold on to the sides. We are working on a ladder to get you out."
"I feel like I'm standing on shifting sand.","Plant your feet on the floor. Feel the ground. It is solid."
"I keep starting conversations.","Ask a friend to stay with you to help manage your social interactions."
"I feel like a light bulb.","Shine, but don't burn out. Rest is fuel."
"I feel empty.","Fill the emptiness with comforting things—music, a soft blanket, a favorite movie."
"I have a special mission.","Write down your mission and show it to your therapist."
"I'm sleeping too much.","Set an alarm for short naps instead of sleeping all day."
"I feel drunk on life.","Highs can be addictive. Stay grounded by sticking to your daily schedule."
"I want to smash everything.","Clench your fists and then release them. Repeat until the urge fades."
"I feel like people are watching me.","Wear sunglasses if it helps you feel more invisible and safe."
"Everything has ground to a halt.","Be the turtle, not the hare. Slow progress is still progress."
"I don't want to see anyone.","That's fine. Just don't lock the door. Let people check on you."
"I feel fantastic!","Great! Use that mood to do something kind for yourself, like cooking a healthy meal."
"I'm thinking slowly.","Write things down so you don't have to rely on your memory."
"I hear voices.","Listening to music on headphones can sometimes drown out the voices."
"I just spent my rent.","Don't panic. Money problems can be solved. Your health is the priority."
"I feel like I'm drowning.","Reach out your hand. Help is here."
"My creativity is in overdrive.","Don't let the ideas overwhelm you. Pick the best one and ignore the rest."
"I feel guilty.","Talk to your therapist about this guilt. It's a heavy burden to carry alone."
"I have so much energy but feel sad.","Do not stay alone with these feelings. Call a helpline."
"I made a huge plan.","Ask someone you trust: 'Does this plan sound like me, or does it sound like the illness?'"
"I'm talking so fast.","Practice silence for 5 minutes. It calms the mind."
"I feel like the world is against me.","Challenge that thought. Name three things that are going right."
"I don't need sleep.","Your brain cleans itself while you sleep. It's essential maintenance."
"I've lost interest.","Try to do one thing you used to enjoy, just for 5 minutes."
"It feels like falling into a well.","Keep looking up. The light is still there."
"I feel like I'm standing on shifting sand.","Find a rock—a person or a place that makes you feel steady."
"I keep starting conversations.","Maybe write a letter instead of talking to strangers. It's safer."
"I feel like a light bulb.","Even light bulbs need to be switched off sometimes."
"I feel empty.","You are not empty; you are just waiting to be filled with new experiences."
"I have a special mission.","Is your mission realistic? Let's reality-test it."
"I'm sleeping too much.","Try to make your bedroom for sleep only. Get up as soon as you wake."
"I feel drunk on life.","Stay away from alcohol. It will only make the crash worse."
"I want to smash everything.","Run your hands under cold water. It shocks the system and resets the brain."
"I feel like people are watching me.","Remind yourself: 'I am safe. This is just a feeling, not a fact.'"
"Everything has ground to a halt.","Patience. The gears will start turning again."
"I don't want to see anyone.","Can you tolerate a phone call? Hearing a voice can help."
"I feel fantastic!","Keep a mood diary. Track this feeling to see if it's escalating."
"I'm thinking slowly.","Read something simple, like a magazine, instead of a complex book."
"I hear voices.","Tell the voices to go away. You are in charge."
"I just spent my rent.","Let's return what we can. Most stores have a return policy."
"I feel like I'm drowning.","Tread water. Help is on the way."
"My creativity is in overdrive.","Paint, draw, write—get it out of your head and onto paper."
"I feel guilty.","Would you blame a friend for being sick? Don't blame yourself."
"I have so much energy but feel sad.","This is the hardest part. Hang on. It will change."
"I made a huge plan.","Wait until your mood is stable before signing anything."
"I'm talking so fast.","Count to ten before answering. It slows you down."
"I feel like the world is against me.","The world is neutral. It's your perception that has darkened."
"I don't need sleep.","Lie still and focus on relaxing each muscle group."
"I've lost interest.","It will come back. Trust the process."
"It feels like falling into a well.","Grab my hand. I won't let you fall."
"I feel like I'm standing on shifting sand.","Find your center. You are the anchor."
"I keep starting conversations.","Avoid crowded places if you can't stop yourself."
"I feel like a light bulb.","Use your light to see clearly, not to blind yourself."
"I feel empty.","This is a temporary pause in your emotions."
"I have a special mission.","Let's talk about it. Maybe we can modify the mission."
"I'm sleeping too much.","Open the window. Fresh air helps wake you up."
"I feel drunk on life.","Enjoy the ride, but keep your seatbelt on."
"I want to smash everything.","Do pushups or jumping jacks. Burn the adrenaline."
"I feel like people are watching me.","Ignore them. You have the right to be here."
"Everything has ground to a halt.","Wait for the green light. It will come."
"I don't want to see anyone.","Maybe a pet would be better company right now."
"I feel fantastic!","Share your happiness, but don't impose it."
"I'm thinking slowly.","One thing at a time. There is no rush."
"I hear voices.","Are they loud or quiet? Identifying them helps control them."
"I just spent my rent.","It's money. It can be replaced. You are irreplaceable."
"I feel like I'm drowning.","Breathe. You are not underwater."
"My creativity is in overdrive.","Create something beautiful."
"I feel guilty.","Let it go. Guilt serves no purpose here."
"I have so much energy but feel sad.","Call your doctor. Now."
"I made a huge plan.","Put it in a drawer. Look at it in a week."
"I'm talking so fast.","Listen more than you speak."
"I feel like the world is against me.","Find one ally. That's all you need."
"I don't need sleep.","Rest anyway. Your body will thank you."
"I've lost interest.","Wait. It will return."
"It feels like falling into a well.","Look for the footholds."
"I feel like I'm standing on shifting sand.","Keep moving. Don't sink."
"I keep starting conversations.","Smile and wave. That's enough."
"I feel like a light bulb.","Don't blow a fuse."
"I feel empty.","Rest in the emptiness."
"I have a special mission.","Is it safe?"
"I'm sleeping too much.","Get up. Move."
"I feel drunk on life.","Sober up slowly."
"I want to smash everything.","Breathe."
"I feel like people are watching me.","They aren't."
"Everything has ground to a halt.","Start again."
"I don't want to see anyone.","It's okay."
"I feel fantastic!","Stay safe."
"I'm thinking slowly.","Take your time."
"I hear voices.","Ignore them."
"I just spent my rent.","We will fix it."
"I feel like I'm drowning.","Swim up."
"My creativity is in overdrive.","Focus."
"I feel guilty.","Stop."
"I have so much energy but feel sad.","Help is here."
